Time,Data
65955,-0.00016846
65956,7.35552e-05
65957,0.0002581582
65958,6.96075e-05
65959,-8.18679e-05
65960,-9.35636e-05
65961,0.0001398586
65962,0.0002734789
65963,0.0001114343
65964,-5.98114e-05
65965,-0.0004678201
65966,-0.0010190231
65967,-0.0012724163
65968,-0.0009355915
65969,-0.000629521
65970,-0.0002375296
65971,5.41781e-05
65972,0.0002621035
65973,9.3469e-05
65974,-0.0001376115
65975,-0.0004914451
65976,-0.0005092326
65977,-6.95495e-05
65978,0.0001509815
65979,-0.0004249784
65980,-0.0007290319
65981,-0.0006682775
65982,-0.0008255758
65983,-0.0007590235
65984,-0.0004422281
65985,-0.0002081163
65986,-0.0003039395
65987,-0.0006212872
65988,-0.0006226639
65989,-0.0005007074
65990,-0.0003413606
65991,-0.0002203631
65992,-0.0002038624
65993,-0.000106438
65994,-3.78157e-05
65995,-5.29421e-05
65996,-8.08329e-05
65997,-3.89789e-05
65998,2.1968e-06
65999,0.0002686444
66000,0.0005138313
66001,0.0007267373
66002,0.0008234347
66003,0.0008764233
66004,0.0007872838
66005,0.0005139868
66006,0.0002267456
66007,-8.39731e-05
66008,-0.0005930854
66009,-0.001078505
66010,-0.0012088222
66011,-0.0009197231
66012,-0.0006439872
66013,-0.000704135
66014,-0.0007408187
66015,-0.0005033379
66016,-0.000566121
66017,-0.0005725487
66018,-0.0005078837
66019,-0.0005911269
66020,-0.000587997
66021,-0.000669112
66022,-0.0005418708
66023,-0.000390913
66024,-0.0002586184
66025,-0.0002227377
66026,-5.8345e-05
66027,0.0002377158
66028,0.0004220821
66029,0.0003506665
66030,0.0001854436
66031,0.0003314412
66032,0.0005286123
66033,0.0007553853
66034,0.0005919075
66035,-8.64766e-05
66036,-0.0008439493
66037,-0.0013600817
66038,-0.0012922814
66039,-0.0008124978
66040,-0.0004454657
66041,-0.0003489511
66042,-0.000337279
66043,-0.0002100559
66044,0.0001205574
66045,0.0004879082
66046,0.0007407384
66047,0.0003599793
66048,8.55572e-05
66049,-8.00287e-05
66050,-0.0007096495
66051,-0.000549047
66052,-0.0002025846
66053,-0.0004227262
66054,-0.0003973933
66055,-0.0004637941
66056,-0.0004277915
66057,-0.0004220571
66058,-0.0004786064
66059,-0.0003210329
66060,-0.000170936
66061,-0.0001820762
66062,-0.0001931329
66063,-0.000168202
66064,1.93361e-05
66065,-7.08525e-05
66066,-2.58818e-05
66067,-3.27513e-05
66068,0.0002461206
66069,0.0001329533
66070,0.0001759262
66071,0.0005530071
66072,0.0006873243
66073,0.0009734159
66074,0.0008505302
66075,0.0004996943
66076,0.00025447
66077,-0.0007380028
66078,-0.0009639538
66079,-0.0003008491
66080,6.22934e-05
66081,-9.89047e-05
66082,-0.0005269196
66083,-0.0003832944
66084,-0.0005454159
66085,-0.0006822703
66086,-0.0003568731
66087,-0.000268927
66088,-0.0001318086
66089,-0.0002535435
66090,-0.0001170844
66091,-0.0001188181
66092,-0.000174963
66093,-0.0003782674
66094,1.43601e-05
66095,0.00012604
66096,0.0002401208
66097,0.0002739507
66098,0.0003042319
66099,0.0003152377
66100,0.0004879576
66101,0.0007043493
66102,0.0007980668
66103,0.0008103503
66104,0.0003830926
66105,-0.0006444064
66106,-0.0008135001
66107,-0.0003942731
66108,-0.0005940856
66109,-0.0005936951
66110,-0.0003932649
66111,-0.0004534852
66112,-0.0005007054
66113,-0.0004397601
66114,-0.0004073908
66115,-0.0004141839
66116,-0.0002518762
66117,-0.0001578106
66118,-0.0001239917
66119,-0.0001338428
66120,-1.45629e-05
66121,9.802e-06
66122,6.09557e-05
66123,0.0001623338
66124,0.0001442242
66125,0.0002407617
66126,0.0001706857
66127,0.0004068901
66128,0.0001421893
66129,0.000331735
66130,0.000174113
66131,0.0002678972
66132,0.0003517804
66133,0.0003489312
66134,4.91209e-05
66135,0.0002054971
66136,0.0002175399
66137,0.0003815613
66138,0.000493324
66139,0.000526473
66140,0.0008200893
66141,0.0009636066
66142,0.0008058973
66143,0.0011084547
66144,0.0011177763
66147,0.0004172952
66148,-0.0002742427
66149,-0.0010888608
66150,-0.0011929834
66151,-0.0010486272
66152,-0.0010673455
66153,-0.0010141762
66154,-0.0005465159
66155,-0.000127397
66156,6.23942e-05
66157,1.71182e-05
66158,-0.0008852349
66159,-0.0007187252
66160,-0.0002765488
66161,-0.0001444396
66162,0.0005815111
66163,0.0010469891
66166,0.0002641746
66167,-0.0007684671
66168,-0.0013500744
66169,-0.0020259575
66170,-0.0015874706
66171,-0.0009481751
66172,-0.0006378694
66173,-0.0003713175
66174,-0.0003066532
66175,-0.0003453425
66176,-0.000300467
66177,-7.79989e-05
66178,-0.0001349477
66179,-4.44532e-05
66180,0.0001664347
66181,2.80705e-05
66182,0.0001686702
66183,0.0002039955
66184,0.0001234558
66185,0.0001331368
66186,0.0002238192
66187,0.0005415556
66188,0.0004152435
66189,0.0003739595
66190,0.0004317362
66191,0.0004731943
66192,0.0007241954
66193,0.0008942609
66194,0.0005492279
66195,0.0008267371
66196,0.0008220758
66197,0.0009746886
66198,0.000538038
66199,8.30851e-05
66200,-0.0003950478
66201,-0.0009331876
66202,-0.0012003465
66203,-0.0006124678
66204,-0.0006985319
66205,-0.0007885513
66206,-0.0009898547
66207,-0.0009090134
66208,-0.0009956775
66209,-0.000682071
66210,-0.0006967571
66211,-0.0008999836
66212,-0.0007091248
66213,-0.0004349345
66214,-0.0002601428
66215,-0.0001598114
66216,-3.8612e-06
66217,0.0002801308
66218,0.0008957512
66220,0.0010341062
66221,0.0005669486
66222,0.0002740808
66223,7.32147e-05
66224,-0.0004101639
66225,-0.0008399346
66226,-0.0008444834
66227,-0.0008363422
66228,-0.000828355
66229,-0.000485783
66230,-0.0007799788
66231,-0.0009109098
66232,-0.0007802866
66233,-0.0005610262
66234,-0.0006110622
66235,-0.0004341968
66236,-0.0003165542
66237,-0.0001784534
66238,-0.0001113646
66239,-0.0001483523
66240,-3.84073e-05
66241,7.9505e-06
66242,4.01782e-05
66243,0.0001065377
66244,0.0001902366
66245,3.88744e-05
66246,0.0002358873
66247,-4.7102e-06
66248,0.0002116172
66249,0.0004304798
66250,0.0005085052
66251,0.0008286607
66252,0.0009211705
66253,0.0008701687
66254,0.0008161579
66255,0.0010148527
66256,0.0002028157
66257,-7.1628e-05
66258,-0.0003216555
66259,-0.0004192044
66260,-0.0009062131
66261,-0.0012150912
66262,-0.0009640229
66263,-0.0008397
66264,-0.0006041156
